scenario,is_conflict,number_of_conflicts,places_of_conflicts,conflict_vehicles,decisions,priority_order,waiting_times
"{""vehicles_scenario"": [{""vehicle_id"": ""V8024"", ""lane"": ""3"", ""speed"": 78.12079887702367, ""distance_to_intersection"": 128.5946590580772, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V5713"", ""lane"": ""5"", ""speed"": 23.0881219896006, ""distance_to_intersection"": 134.1265748646373, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V7065"", ""lane"": ""3"", ""speed"": 77.60274382980498, ""distance_to_intersection"": 344.10265517588516, ""direction"": ""east"", ""destination"": ""H""}, {""vehicle_id"": ""V2034"", ""lane"": ""7"", ""speed"": 35.57476961042999, ""distance_to_intersection"": 143.68795043310098, ""direction"": ""west"", ""destination"": ""F""}, {""vehicle_id"": ""V2867"", ""lane"": ""6"", ""speed"": 58.99778483681809, ""distance_to_intersection"": 236.03675507937277, ""direction"": ""south"", ""destination"": ""G""}]}",yes,2,"['intersection', 'intersection']","[{'vehicle1_id': 'V7065', 'vehicle2_id': 'V2867'}, {'vehicle1_id': 'V2034', 'vehicle2_id': 'V2867'}]","['Potential conflict: Vehicle V7065 must yield to Vehicle V2867', 'Potential conflict: Vehicle V2867 must yield to Vehicle V2034']","{'V2867': 1, 'V2034': 2, 'V7065': 3, 'V8024': None, 'V5713': None}","{'V2867': 0, 'V2034': 2, 'V7065': 3, 'V8024': 0, 'V5713': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6651"", ""lane"": ""1"", ""speed"": 72.35440851256986, ""distance_to_intersection"": 148.22665309433006, ""direction"": ""north"", ""destination"": ""F""}, {""vehicle_id"": ""V4686"", ""lane"": ""2"", ""speed"": 71.56654283464738, ""distance_to_intersection"": 275.3889405509967, ""direction"": ""north"", ""destination"": ""C""}]}",no,0,[],[],[],"{'V6651': None, 'V4686': None}","{'V6651': 0, 'V4686': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V5319"", ""lane"": ""4"", ""speed"": 27.305567790653576, ""distance_to_intersection"": 84.38422850783984, ""direction"": ""east"", ""destination"": ""F""}, {""vehicle_id"": ""V2714"", ""lane"": ""2"", ""speed"": 53.282532155436655, ""distance_to_intersection"": 415.81581107011124, ""direction"": ""north"", ""destination"": ""E""}, {""vehicle_id"": ""V8715"", ""lane"": ""6"", ""speed"": 21.429630451928464, ""distance_to_intersection"": 161.71290130691668, ""direction"": ""south"", ""destination"": ""A""}, {""vehicle_id"": ""V7493"", ""lane"": ""2"", ""speed"": 74.78207338523984, ""distance_to_intersection"": 450.4850333963972, ""direction"": ""north"", ""destination"": ""D""}, {""vehicle_id"": ""V5908"", ""lane"": ""2"", ""speed"": 20.129725372491638, ""distance_to_intersection"": 307.73695871126205, ""direction"": ""north"", ""destination"": ""C""}]}",no,0,[],[],[],"{'V5319': None, 'V2714': None, 'V8715': None, 'V7493': None, 'V5908': None}","{'V5319': 0, 'V2714': 0, 'V8715': 0, 'V7493': 0, 'V5908': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4852"", ""lane"": ""1"", ""speed"": 20.36994269520104, ""distance_to_intersection"": 494.60245647567183, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V9671"", ""lane"": ""2"", ""speed"": 24.20458862397791, ""distance_to_intersection"": 375.3568864291528, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V1972"", ""lane"": ""8"", ""speed"": 37.348450825535885, ""distance_to_intersection"": 446.30007593344743, ""direction"": ""west"", ""destination"": ""B""}]}",no,0,[],[],[],"{'V4852': None, 'V9671': None, 'V1972': None}","{'V4852': 0, 'V9671': 0, 'V1972': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V7796"", ""lane"": ""3"", ""speed"": 64.99374354222181, ""distance_to_intersection"": 172.02411811580703, ""direction"": ""east"", ""destination"": ""H""}, {""vehicle_id"": ""V4172"", ""lane"": ""6"", ""speed"": 70.34349168805784, ""distance_to_intersection"": 272.90971901524534, ""direction"": ""south"", ""destination"": ""A""}, {""vehicle_id"": ""V5294"", ""lane"": ""2"", ""speed"": 43.174889301535224, ""distance_to_intersection"": 453.0440717941078, ""direction"": ""north"", ""destination"": ""E""}, {""vehicle_id"": ""V8025"", ""lane"": ""7"", ""speed"": 46.78974377088771, ""distance_to_intersection"": 134.9472554382671, ""direction"": ""west"", ""destination"": ""D""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V4172', 'vehicle2_id': 'V8025'}]",['Potential conflict: Vehicle V4172 must yield to Vehicle V8025'],"{'V8025': 1, 'V4172': 2, 'V7796': None, 'V5294': None}","{'V8025': 0, 'V4172': 0, 'V7796': 0, 'V5294': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V7734"", ""lane"": ""5"", ""speed"": 54.333763198329194, ""distance_to_intersection"": 85.3016861463374, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V7748"", ""lane"": ""7"", ""speed"": 57.13326461982441, ""distance_to_intersection"": 341.63882972661054, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V6434"", ""lane"": ""5"", ""speed"": 55.4843508923588, ""distance_to_intersection"": 361.2186308244864, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V4495"", ""lane"": ""4"", ""speed"": 20.560898374272032, ""distance_to_intersection"": 253.63592557869944, ""direction"": ""east"", ""destination"": ""F""}]}",no,0,[],[],[],"{'V7734': None, 'V7748': None, 'V6434': None, 'V4495': None}","{'V7734': 0, 'V7748': 0, 'V6434': 0, 'V4495': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V9950"", ""lane"": ""1"", ""speed"": 30.593813677456925, ""distance_to_intersection"": 109.84558462738391, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V1386"", ""lane"": ""3"", ""speed"": 55.935311979655445, ""distance_to_intersection"": 211.34720282949402, ""direction"": ""east"", ""destination"": ""H""}, {""vehicle_id"": ""V9357"", ""lane"": ""8"", ""speed"": 21.833437863066088, ""distance_to_intersection"": 422.8704803572948, ""direction"": ""west"", ""destination"": ""A""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V9950', 'vehicle2_id': 'V1386'}]",['Potential conflict: Vehicle V1386 must yield to Vehicle V9950'],"{'V9950': 1, 'V1386': 2, 'V9357': None}","{'V9950': 0, 'V1386': 2, 'V9357': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V2737"", ""lane"": ""6"", ""speed"": 45.181304279633395, ""distance_to_intersection"": 465.7747426968585, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V9778"", ""lane"": ""4"", ""speed"": 33.49885931499828, ""distance_to_intersection"": 488.68830425709615, ""direction"": ""east"", ""destination"": ""F""}, {""vehicle_id"": ""V2924"", ""lane"": ""8"", ""speed"": 67.19569160669346, ""distance_to_intersection"": 417.7565743490363, ""direction"": ""west"", ""destination"": ""C""}, {""vehicle_id"": ""V1669"", ""lane"": ""3"", ""speed"": 47.69501864597191, ""distance_to_intersection"": 363.9439206243842, ""direction"": ""east"", ""destination"": ""H""}]}",no,0,[],[],[],"{'V2737': None, 'V9778': None, 'V2924': None, 'V1669': None}","{'V2737': 0, 'V9778': 0, 'V2924': 0, 'V1669': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V2287"", ""lane"": ""7"", ""speed"": 45.2801874890684, ""distance_to_intersection"": 256.18770571344237, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V2699"", ""lane"": ""8"", ""speed"": 40.87274196557786, ""distance_to_intersection"": 52.17491428203559, ""direction"": ""west"", ""destination"": ""C""}, {""vehicle_id"": ""V2540"", ""lane"": ""6"", ""speed"": 34.05387390561733, ""distance_to_intersection"": 99.81772989580702, ""direction"": ""south"", ""destination"": ""H""}, {""vehicle_id"": ""V7900"", ""lane"": ""8"", ""speed"": 44.12868641348129, ""distance_to_intersection"": 327.9674206182483, ""direction"": ""west"", ""destination"": ""A""}, {""vehicle_id"": ""V3082"", ""lane"": ""8"", ""speed"": 20.810160564182233, ""distance_to_intersection"": 475.88282873520785, ""direction"": ""west"", ""destination"": ""C""}]}",no,0,[],[],[],"{'V2287': None, 'V2699': None, 'V2540': None, 'V7900': None, 'V3082': None}","{'V2287': 0, 'V2699': 0, 'V2540': 0, 'V7900': 0, 'V3082': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V9245"", ""lane"": ""2"", ""speed"": 63.493774639796506, ""distance_to_intersection"": 251.51422845451927, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V8670"", ""lane"": ""5"", ""speed"": 37.34507992049033, ""distance_to_intersection"": 296.6661988685762, ""direction"": ""south"", ""destination"": ""D""}, {""vehicle_id"": ""V9093"", ""lane"": ""7"", ""speed"": 32.832243510215044, ""distance_to_intersection"": 108.71709890064156, ""direction"": ""west"", ""destination"": ""F""}, {""vehicle_id"": ""V1270"", ""lane"": ""6"", ""speed"": 27.250885425116827, ""distance_to_intersection"": 250.84883687828858, ""direction"": ""south"", ""destination"": ""A""}, {""vehicle_id"": ""V8833"", ""lane"": ""7"", ""speed"": 60.912583774346444, ""distance_to_intersection"": 394.3084455407852, ""direction"": ""west"", ""destination"": ""F""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V9245', 'vehicle2_id': 'V9093'}]",['Potential conflict: Vehicle V9245 must yield to Vehicle V9093'],"{'V9093': 1, 'V9245': 2, 'V8670': None, 'V1270': None, 'V8833': None}","{'V9093': 0, 'V9245': 0, 'V8670': 0, 'V1270': 0, 'V8833': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4986"", ""lane"": ""8"", ""speed"": 44.98010177270762, ""distance_to_intersection"": 306.82697563522856, ""direction"": ""west"", ""destination"": ""B""}, {""vehicle_id"": ""V5682"", ""lane"": ""2"", ""speed"": 71.82758988427943, ""distance_to_intersection"": 159.9581563696711, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V8144"", ""lane"": ""8"", ""speed"": 36.19339508535869, ""distance_to_intersection"": 185.3383825834088, ""direction"": ""west"", ""destination"": ""C""}, {""vehicle_id"": ""V7676"", ""lane"": ""6"", ""speed"": 20.320015438437075, ""distance_to_intersection"": 208.06130644737596, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V7126"", ""lane"": ""8"", ""speed"": 61.155261932656835, ""distance_to_intersection"": 417.21124683346744, ""direction"": ""west"", ""destination"": ""C""}]}",no,0,[],[],[],"{'V4986': None, 'V5682': None, 'V8144': None, 'V7676': None, 'V7126': None}","{'V4986': 0, 'V5682': 0, 'V8144': 0, 'V7676': 0, 'V7126': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V2168"", ""lane"": ""5"", ""speed"": 52.51350312695984, ""distance_to_intersection"": 178.63385274468828, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V4044"", ""lane"": ""5"", ""speed"": 65.75544085728168, ""distance_to_intersection"": 300.77808010289124, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V1065"", ""lane"": ""4"", ""speed"": 31.02070337621679, ""distance_to_intersection"": 114.37281247522286, ""direction"": ""east"", ""destination"": ""G""}]}",yes,2,"['intersection', 'intersection']","[{'vehicle1_id': 'V2168', 'vehicle2_id': 'V1065'}, {'vehicle1_id': 'V4044', 'vehicle2_id': 'V1065'}]","['Potential conflict: Vehicle V1065 must yield to Vehicle V2168', 'Potential conflict: Vehicle V4044 must yield to Vehicle V1065']","{'V2168': 1, 'V1065': 2, 'V4044': 3}","{'V2168': 0, 'V1065': 1, 'V4044': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V1434"", ""lane"": ""7"", ""speed"": 49.38425970234671, ""distance_to_intersection"": 119.74413140149825, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V7469"", ""lane"": ""1"", ""speed"": 38.14116381671138, ""distance_to_intersection"": 456.25330018665284, ""direction"": ""north"", ""destination"": ""F""}, {""vehicle_id"": ""V4950"", ""lane"": ""4"", ""speed"": 50.48835220052356, ""distance_to_intersection"": 265.9162125266938, ""direction"": ""east"", ""destination"": ""E""}]}",no,0,[],[],[],"{'V1434': None, 'V7469': None, 'V4950': None}","{'V1434': 0, 'V7469': 0, 'V4950': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V5606"", ""lane"": ""4"", ""speed"": 59.49138117488537, ""distance_to_intersection"": 357.21021948268975, ""direction"": ""east"", ""destination"": ""F""}, {""vehicle_id"": ""V6156"", ""lane"": ""4"", ""speed"": 29.769486557653938, ""distance_to_intersection"": 491.890751939972, ""direction"": ""east"", ""destination"": ""F""}]}",no,0,[],[],[],"{'V5606': None, 'V6156': None}","{'V5606': 0, 'V6156': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6200"", ""lane"": ""2"", ""speed"": 76.42707745693573, ""distance_to_intersection"": 83.74384309564138, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V3385"", ""lane"": ""6"", ""speed"": 36.59608546712494, ""distance_to_intersection"": 392.0409484466066, ""direction"": ""south"", ""destination"": ""G""}]}",no,0,[],[],[],"{'V6200': None, 'V3385': None}","{'V6200': 0, 'V3385': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6036"", ""lane"": ""4"", ""speed"": 70.79705036088829, ""distance_to_intersection"": 441.90080396418495, ""direction"": ""east"", ""destination"": ""G""}, {""vehicle_id"": ""V8383"", ""lane"": ""3"", ""speed"": 33.01063445346146, ""distance_to_intersection"": 294.4700730977705, ""direction"": ""east"", ""destination"": ""H""}]}",no,0,[],[],[],"{'V6036': None, 'V8383': None}","{'V6036': 0, 'V8383': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V5537"", ""lane"": ""8"", ""speed"": 69.53267888880796, ""distance_to_intersection"": 83.31775259792448, ""direction"": ""west"", ""destination"": ""C""}, {""vehicle_id"": ""V1290"", ""lane"": ""7"", ""speed"": 71.65709516999239, ""distance_to_intersection"": 146.70224968710568, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V8756"", ""lane"": ""7"", ""speed"": 60.06254837072003, ""distance_to_intersection"": 427.1190520250492, ""direction"": ""west"", ""destination"": ""F""}, {""vehicle_id"": ""V4628"", ""lane"": ""2"", ""speed"": 29.490219569547104, ""distance_to_intersection"": 265.7783530916025, ""direction"": ""north"", ""destination"": ""E""}]}",no,0,[],[],[],"{'V5537': None, 'V1290': None, 'V8756': None, 'V4628': None}","{'V5537': 0, 'V1290': 0, 'V8756': 0, 'V4628': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V5601"", ""lane"": ""6"", ""speed"": 74.68981618065663, ""distance_to_intersection"": 137.71125653395387, ""direction"": ""south"", ""destination"": ""A""}, {""vehicle_id"": ""V9366"", ""lane"": ""5"", ""speed"": 20.324829192815407, ""distance_to_intersection"": 242.33115200009507, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V2575"", ""lane"": ""8"", ""speed"": 66.78162792765119, ""distance_to_intersection"": 448.4749516577066, ""direction"": ""west"", ""destination"": ""A""}]}",no,0,[],[],[],"{'V5601': None, 'V9366': None, 'V2575': None}","{'V5601': 0, 'V9366': 0, 'V2575': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4701"", ""lane"": ""2"", ""speed"": 24.21794599539819, ""distance_to_intersection"": 161.46940139523463, ""direction"": ""north"", ""destination"": ""E""}, {""vehicle_id"": ""V4685"", ""lane"": ""7"", ""speed"": 23.68671045435033, ""distance_to_intersection"": 170.29922851772318, ""direction"": ""west"", ""destination"": ""F""}, {""vehicle_id"": ""V7600"", ""lane"": ""7"", ""speed"": 63.23481496753015, ""distance_to_intersection"": 52.65118511809199, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V9661"", ""lane"": ""6"", ""speed"": 52.70835386614505, ""distance_to_intersection"": 429.2608935384572, ""direction"": ""south"", ""destination"": ""H""}]}",yes,2,"['intersection', 'intersection']","[{'vehicle1_id': 'V4701', 'vehicle2_id': 'V4685'}, {'vehicle1_id': 'V4685', 'vehicle2_id': 'V9661'}]","['Potential conflict: Vehicle V4685 must yield to Vehicle V4701', 'Potential conflict: Vehicle V9661 must yield to Vehicle V4685']","{'V4701': 1, 'V4685': 2, 'V9661': 3, 'V7600': None}","{'V4701': 0, 'V4685': 1, 'V9661': 0, 'V7600': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V7234"", ""lane"": ""2"", ""speed"": 77.22981767755924, ""distance_to_intersection"": 456.69348454628215, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V2845"", ""lane"": ""5"", ""speed"": 26.224407281775477, ""distance_to_intersection"": 439.1922638999121, ""direction"": ""south"", ""destination"": ""D""}, {""vehicle_id"": ""V5810"", ""lane"": ""1"", ""speed"": 61.07665880781106, ""distance_to_intersection"": 223.72395362117445, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V4038"", ""lane"": ""6"", ""speed"": 76.31255891755619, ""distance_to_intersection"": 148.4597239646761, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V8507"", ""lane"": ""8"", ""speed"": 38.05954052054686, ""distance_to_intersection"": 404.27291999837115, ""direction"": ""west"", ""destination"": ""A""}]}",no,0,[],[],[],"{'V7234': None, 'V2845': None, 'V5810': None, 'V4038': None, 'V8507': None}","{'V7234': 0, 'V2845': 0, 'V5810': 0, 'V4038': 0, 'V8507': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4311"", ""lane"": ""4"", ""speed"": 62.78884863368954, ""distance_to_intersection"": 364.12532205602645, ""direction"": ""east"", ""destination"": ""E""}, {""vehicle_id"": ""V7566"", ""lane"": ""2"", ""speed"": 54.74139957298482, ""distance_to_intersection"": 382.46882648765813, ""direction"": ""north"", ""destination"": ""E""}, {""vehicle_id"": ""V2186"", ""lane"": ""7"", ""speed"": 62.613379980330095, ""distance_to_intersection"": 177.96920417266074, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V6309"", ""lane"": ""8"", ""speed"": 69.98488165258522, ""distance_to_intersection"": 298.0637629882199, ""direction"": ""west"", ""destination"": ""C""}]}",no,0,[],[],[],"{'V4311': None, 'V7566': None, 'V2186': None, 'V6309': None}","{'V4311': 0, 'V7566': 0, 'V2186': 0, 'V6309': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V2323"", ""lane"": ""4"", ""speed"": 79.11197687358552, ""distance_to_intersection"": 465.6177467370481, ""direction"": ""east"", ""destination"": ""F""}, {""vehicle_id"": ""V3881"", ""lane"": ""7"", ""speed"": 36.27071038817549, ""distance_to_intersection"": 425.6966170138864, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V8176"", ""lane"": ""6"", ""speed"": 33.578447454708225, ""distance_to_intersection"": 458.7556404619405, ""direction"": ""south"", ""destination"": ""A""}]}",no,0,[],[],[],"{'V2323': None, 'V3881': None, 'V8176': None}","{'V2323': 0, 'V3881': 0, 'V8176': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V9572"", ""lane"": ""8"", ""speed"": 76.69589149068591, ""distance_to_intersection"": 206.0546291834317, ""direction"": ""west"", ""destination"": ""A""}, {""vehicle_id"": ""V6747"", ""lane"": ""5"", ""speed"": 58.71657220671015, ""distance_to_intersection"": 186.5097327234957, ""direction"": ""south"", ""destination"": ""D""}, {""vehicle_id"": ""V3379"", ""lane"": ""3"", ""speed"": 70.02687029949305, ""distance_to_intersection"": 485.23932662988847, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V3458"", ""lane"": ""1"", ""speed"": 63.4750424605949, ""distance_to_intersection"": 164.90399475941388, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V2996"", ""lane"": ""3"", ""speed"": 73.16333685064274, ""distance_to_intersection"": 194.7049693267731, ""direction"": ""east"", ""destination"": ""B""}]}",yes,5,"['intersection', 'intersection', 'intersection', 'intersection', 'intersection']","[{'vehicle1_id': 'V9572', 'vehicle2_id': 'V6747'}, {'vehicle1_id': 'V9572', 'vehicle2_id': 'V3458'}, {'vehicle1_id': 'V9572', 'vehicle2_id': 'V2996'}, {'vehicle1_id': 'V6747', 'vehicle2_id': 'V2996'}, {'vehicle1_id': 'V3458', 'vehicle2_id': 'V2996'}]","['Potential conflict: Vehicle V6747 must yield to Vehicle V9572', 'Potential conflict: Vehicle V9572 must yield to Vehicle V3458', 'Potential conflict: Vehicle V9572 must yield to Vehicle V2996', 'Potential conflict: Vehicle V6747 must yield to Vehicle V2996', 'Potential conflict: Vehicle V3458 must yield to Vehicle V2996']","{'V3458': 1, 'V2996': 2, 'V9572': 3, 'V6747': 4, 'V3379': None}","{'V3458': 0, 'V2996': 2, 'V9572': 4, 'V6747': 4, 'V3379': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V8240"", ""lane"": ""3"", ""speed"": 62.34885039455872, ""distance_to_intersection"": 265.8201833265106, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V6670"", ""lane"": ""3"", ""speed"": 68.85598139490227, ""distance_to_intersection"": 408.8539797054995, ""direction"": ""east"", ""destination"": ""H""}, {""vehicle_id"": ""V2855"", ""lane"": ""3"", ""speed"": 56.222413529373675, ""distance_to_intersection"": 72.95674242459796, ""direction"": ""east"", ""destination"": ""H""}, {""vehicle_id"": ""V3159"", ""lane"": ""1"", ""speed"": 78.72366187577862, ""distance_to_intersection"": 167.0261184732492, ""direction"": ""north"", ""destination"": ""F""}]}",no,0,[],[],[],"{'V8240': None, 'V6670': None, 'V2855': None, 'V3159': None}","{'V8240': 0, 'V6670': 0, 'V2855': 0, 'V3159': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4140"", ""lane"": ""5"", ""speed"": 31.49450760840935, ""distance_to_intersection"": 100.83771219937682, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V7376"", ""lane"": ""1"", ""speed"": 52.09897114805219, ""distance_to_intersection"": 57.821530745359986, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V3645"", ""lane"": ""2"", ""speed"": 27.07617198767867, ""distance_to_intersection"": 143.21717426174735, ""direction"": ""north"", ""destination"": ""D""}, {""vehicle_id"": ""V8039"", ""lane"": ""3"", ""speed"": 62.04181259018144, ""distance_to_intersection"": 445.5592955176967, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V3950"", ""lane"": ""2"", ""speed"": 21.783587077523098, ""distance_to_intersection"": 210.0933627486458, ""direction"": ""north"", ""destination"": ""D""}]}",no,0,[],[],[],"{'V4140': None, 'V7376': None, 'V3645': None, 'V8039': None, 'V3950': None}","{'V4140': 0, 'V7376': 0, 'V3645': 0, 'V8039': 0, 'V3950': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V9267"", ""lane"": ""5"", ""speed"": 45.95307632948008, ""distance_to_intersection"": 112.25149948360567, ""direction"": ""south"", ""destination"": ""D""}, {""vehicle_id"": ""V7278"", ""lane"": ""6"", ""speed"": 60.72742008622843, ""distance_to_intersection"": 466.2269228307891, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V5326"", ""lane"": ""5"", ""speed"": 48.95217244049993, ""distance_to_intersection"": 432.9076452006775, ""direction"": ""south"", ""destination"": ""D""}, {""vehicle_id"": ""V6096"", ""lane"": ""3"", ""speed"": 46.570959024990074, ""distance_to_intersection"": 215.75579469605833, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V4558"", ""lane"": ""7"", ""speed"": 59.293790753703306, ""distance_to_intersection"": 210.14706222679845, ""direction"": ""west"", ""destination"": ""D""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V9267', 'vehicle2_id': 'V4558'}]",['Potential conflict: Vehicle V4558 must yield to Vehicle V9267'],"{'V9267': 1, 'V4558': 2, 'V7278': None, 'V5326': None, 'V6096': None}","{'V9267': 0, 'V4558': 0, 'V7278': 0, 'V5326': 0, 'V6096': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6591"", ""lane"": ""8"", ""speed"": 75.91735756249025, ""distance_to_intersection"": 468.5422264351021, ""direction"": ""west"", ""destination"": ""B""}, {""vehicle_id"": ""V4800"", ""lane"": ""7"", ""speed"": 55.04553928235903, ""distance_to_intersection"": 395.1192534299145, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V2959"", ""lane"": ""2"", ""speed"": 43.16597231530612, ""distance_to_intersection"": 426.45713125756015, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V4814"", ""lane"": ""8"", ""speed"": 55.852022740912645, ""distance_to_intersection"": 125.65876264922127, ""direction"": ""west"", ""destination"": ""C""}, {""vehicle_id"": ""V3332"", ""lane"": ""3"", ""speed"": 35.94840599355142, ""distance_to_intersection"": 351.920529812303, ""direction"": ""east"", ""destination"": ""B""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V2959', 'vehicle2_id': 'V3332'}]",['Potential conflict: Vehicle V2959 must yield to Vehicle V3332'],"{'V3332': 1, 'V2959': 2, 'V6591': None, 'V4800': None, 'V4814': None}","{'V3332': 0, 'V2959': 2, 'V6591': 0, 'V4800': 0, 'V4814': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V7060"", ""lane"": ""7"", ""speed"": 47.7752565003184, ""distance_to_intersection"": 143.85106780847934, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V7396"", ""lane"": ""8"", ""speed"": 43.738261422837866, ""distance_to_intersection"": 122.39749543497581, ""direction"": ""west"", ""destination"": ""B""}, {""vehicle_id"": ""V1417"", ""lane"": ""7"", ""speed"": 66.49483518455443, ""distance_to_intersection"": 426.8650936935829, ""direction"": ""west"", ""destination"": ""F""}, {""vehicle_id"": ""V3135"", ""lane"": ""6"", ""speed"": 40.77551586725592, ""distance_to_intersection"": 164.92173454062333, ""direction"": ""south"", ""destination"": ""H""}, {""vehicle_id"": ""V5149"", ""lane"": ""6"", ""speed"": 74.1774076814005, ""distance_to_intersection"": 72.50130814613993, ""direction"": ""south"", ""destination"": ""H""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V7060', 'vehicle2_id': 'V3135'}]",['Potential conflict: Vehicle V3135 must yield to Vehicle V7060'],"{'V7060': 1, 'V3135': 2, 'V7396': None, 'V1417': None, 'V5149': None}","{'V7060': 0, 'V3135': 0, 'V7396': 0, 'V1417': 0, 'V5149': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V4567"", ""lane"": ""8"", ""speed"": 54.70247877905707, ""distance_to_intersection"": 470.66355830509383, ""direction"": ""west"", ""destination"": ""A""}, {""vehicle_id"": ""V1109"", ""lane"": ""2"", ""speed"": 61.718687830230955, ""distance_to_intersection"": 330.4106080522481, ""direction"": ""north"", ""destination"": ""D""}, {""vehicle_id"": ""V9734"", ""lane"": ""6"", ""speed"": 34.033644424221684, ""distance_to_intersection"": 204.77626901714638, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V7522"", ""lane"": ""5"", ""speed"": 70.00346634207438, ""distance_to_intersection"": 493.60392137477385, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V3477"", ""lane"": ""2"", ""speed"": 47.912304739894005, ""distance_to_intersection"": 206.01942191986257, ""direction"": ""north"", ""destination"": ""E""}]}",no,0,[],[],[],"{'V4567': None, 'V1109': None, 'V9734': None, 'V7522': None, 'V3477': None}","{'V4567': 0, 'V1109': 0, 'V9734': 0, 'V7522': 0, 'V3477': 0}"
